Time,SPY,VTI,QQQ,VEA,AGG,BND,LQD,VCIT
02-Jan-2019 00:00:00,245.5347,125.3143,153.6161,35.8827,103.687,77.2074,109.3645,80.15
03-Jan-2019 00:00:00,239.6755,122.4103,148.5974,35.5922,104.1151,77.5089,109.4129,80.3336
04-Jan-2019 00:00:00,247.7036,126.4622,154.955,36.6866,103.8038,77.2755,109.3452,80.1597
07-Jan-2019 00:00:00,249.6567,127.7376,156.7999,36.8028,103.6286,77.1587,109.3549,80.0534
08-Jan-2019 00:00:00,252.0023,129.0522,158.2182,37.0643,103.5508,77.0615,109.5965,80.1211
09-Jan-2019 00:00:00,253.18,129.6605,159.5076,37.5195,103.6384,77.1685,110.012,80.4205
10-Jan-2019 00:00:00,254.0731,130.2982,159.9638,37.6744,103.5216,77.0128,109.7221,80.2853
11-Jan-2019 00:00:00,254.1713,130.3277,159.3787,37.442,103.6675,77.1685,109.925,80.5171
14-Jan-2019 00:00:00,252.6206,129.5035,157.9702,37.2483,103.5216,77.1004,109.6351,80.4592
15-Jan-2019 00:00:00,255.5158,130.9163,161.0549,37.4807,103.5411,77.1101,109.7028,80.5171
16-Jan-2019 00:00:00,256.1341,131.2891,161.0251,37.5969,103.6286,77.1393,109.9154,80.662
17-Jan-2019 00:00:00,258.0774,132.3487,162.2947,37.7229,103.5508,77.0517,110.1376,80.6717
18-Jan-2019 00:00:00,261.5124,134.0656,163.9014,38.1296,103.473,76.9934,110.3309,80.7441
22-Jan-2019 00:00:00,257.9792,132.231,160.6185,37.5388,103.5605,77.1296,110.5145,80.8552
23-Jan-2019 00:00:00,258.519,132.3683,160.8267,37.7325,103.6675,77.2074,110.7948,81.0677
24-Jan-2019 00:00:00,258.6564,132.643,161.8682,37.781,103.8427,77.3727,111.0847,81.2609
25-Jan-2019 00:00:00,260.845,133.889,163.8023,38.2555,103.794,77.2852,111.1813,81.232
28-Jan-2019 00:00:00,258.8625,132.9079,161.7789,38.0715,103.7357,77.3144,111.162,81.2513
29-Jan-2019 00:00:00,258.519,132.7215,160.2515,38.178,104.0081,77.47,111.4036,81.4155
30-Jan-2019 00:00:00,262.6116,134.7229,164.3279,38.6042,104.2416,77.5478,111.9158,81.7923
31-Jan-2019 00:00:00,264.918,135.91,166.7877,38.6139,104.5529,77.9078,112.6985,82.2656
01-Feb-2019 00:00:00,265.0455,136.1063,166.0835,38.5945,104.3373,77.6921,112.4304,81.9651
04-Feb-2019 00:00:00,266.9103,137.0775,168.1465,38.7301,104.2495,77.6239,112.2753,81.9069
05-Feb-2019 00:00:00,268.0291,137.6466,169.6343,39.04,104.4738,77.7897,112.7309,82.091
06-Feb-2019 00:00:00,267.6758,137.5092,169.1284,38.7882,104.4153,77.7604,112.5176,82.0716
07-Feb-2019 00:00:00,265.1241,136.2044,166.8571,38.2943,104.4641,77.8189,112.4983,82.1394
08-Feb-2019 00:00:00,265.4479,136.3417,167.1844,38.1587,104.6982,77.9359,112.7794,82.246
11-Feb-2019 00:00:00,265.5951,136.6262,167.0257,38.0812,104.5909,77.9067,112.5273,82.1298
12-Feb-2019 00:00:00,269.0105,138.3333,169.4954,38.5848,104.6104,77.8969,112.6824,82.1976
13-Feb-2019 00:00:00,269.884,138.765,169.6144,38.5945,104.4251,77.775,112.3916,82.0619
14-Feb-2019 00:00:00,269.2853,138.5197,169.8227,38.5945,104.5811,77.9164,112.5176,82.2073
15-Feb-2019 00:00:00,272.2198,140.0404,170.5368,39.1175,104.6591,77.9457,112.6534,82.246
19-Feb-2019 00:00:00,272.6909,140.3151,170.8741,39.3112,104.7177,78.0139,112.7212,82.2944
20-Feb-2019 00:00:00,273.2405,140.6095,170.8443,39.4661,104.7274,77.9847,112.6243,82.2848
21-Feb-2019 00:00:00,272.2689,140.1287,170.2195,39.3693,104.4933,77.8287,112.3044,82.1685
22-Feb-2019 00:00:00,273.9569,141.0509,171.4791,39.5146,104.7567,78.0042,112.8084,82.4688
25-Feb-2019 00:00:00,274.3299,141.257,172.1039,39.6405,104.7274,77.9749,112.7697,82.4494
26-Feb-2019 00:00:00,274.1336,140.9921,172.2825,39.8051,104.8445,78.0822,112.9441,82.5948
27-Feb-2019 00:00:00,274.0158,141.0411,172.1734,39.6792,104.6201,77.9262,112.6243,82.4979
28-Feb-2019 00:00:00,273.5055,140.7468,171.7766,39.5146,104.4348,77.8384,112.4692,82.3816
01-Mar-2019 00:00:00,275.2132,141.6887,172.9668,39.7567,104.2659,77.5982,112.2738,82.2867
04-Mar-2019 00:00:00,274.2121,141.0313,172.9966,39.6017,104.393,77.735,112.5266,82.413
05-Mar-2019 00:00:00,273.8392,140.7664,173.1255,39.6308,104.4615,77.7937,112.5655,82.413
06-Mar-2019 00:00:00,272.1806,139.697,172.1436,39.5146,104.6179,77.8914,112.6725,82.6073
07-Mar-2019 00:00:00,269.9036,138.608,170.031,39.0109,104.9113,78.1162,113.0419,82.7724
08-Mar-2019 00:00:00,269.3638,138.3235,169.7731,38.9625,105.0482,78.214,113.1878,82.8404
11-Mar-2019 00:00:00,273.2699,140.3544,173.3041,39.3209,105.0579,78.1749,113.3142,82.9278
12-Mar-2019 00:00:00,274.3004,140.8253,174.2562,39.3402,105.2535,78.3606,113.6253,83.1124
13-Mar-2019 00:00:00,276.1161,141.7279,175.5655,39.6308,105.2046,78.3215,113.4406,83.0541
14-Mar-2019 00:00:00,275.9394,141.6102,175.2679,39.592,105.0482,78.2531,113.2169,82.9861
15-Mar-2019 00:00:00,277.2969,142.2675,176.8945,39.9891,105.3122,78.3997,113.6253,83.2581
18-Mar-2019 00:00:00,278.3023,142.7973,177.3153,40.1247,105.2926,78.3508,113.567,83.1998
19-Mar-2019 00:00:00,278.3713,142.7678,177.9115,40.2313,105.234,78.3117,113.5864,83.2289
20-Mar-2019 00:00:00,277.5334,142.1792,178.617,40.1925,105.6642,78.6538,114.3546,83.7146
21-Mar-2019 00:00:00,280.6681,143.847,181.4091,40.2313,105.6838,78.6734,114.5685,83.7924
22-Mar-2019 00:00:00,275.2662,140.8449,177.4246,39.4565,106.2118,79.1034,115.2685,84.1226
25-Mar-2019 00:00:00,275.0592,140.7488,177.0867,39.4565,106.4074,79.2012,115.5019,84.2975
26-Mar-2019 00:00:00,277.1096,141.8338,177.9115,39.6986,106.4269,79.2207,115.5505,84.3558
27-Mar-2019 00:00:00,275.6605,141.1828,176.7688,39.6405,106.6518,79.3673,115.7061,84.3946
28-Mar-2019 00:00:00,276.7054,141.8042,177.1762,39.6163,106.6616,79.4064,115.8519,84.4723
29-Mar-2019 00:00:00,278.4502,142.7413,178.5176,39.7524,106.6518,79.3478,115.7644,84.3849
01-Apr-2019 00:00:00,281.7524,144.3984,180.8825,40.2679,106.1648,79.0346,115.3346,84.0683
02-Apr-2019 00:00:00,281.8904,144.3886,181.5681,40.2971,106.2824,79.0738,115.4907,84.1365
03-Apr-2019 00:00:00,282.334,144.7338,182.6114,40.6084,106.0864,78.966,115.2468,84.0488
04-Apr-2019 00:00:00,283.0831,145.0396,182.5418,40.5306,106.1648,79.0444,115.4321,84.1171
05-Apr-2019 00:00:00,284.4533,145.7695,183.4858,40.6181,106.2432,79.1032,115.6174,84.2535
08-Apr-2019 00:00:00,284.6701,145.8978,183.9528,40.6473,106.1942,79.0248,115.4516,84.1658
09-Apr-2019 00:00:00,283.2113,145.0199,183.3069,40.4041,106.253,79.1424,115.6955,84.2827
10-Apr-2019 00:00:00,284.1773,145.6906,184.2906,40.5695,106.4588,79.2502,116.2611,84.6336
11-Apr-2019 00:00:00,284.0984,145.6807,183.8534,40.4916,106.3314,79.113,116.1441,84.5654
12-Apr-2019 00:00:00,286.0206,146.6573,184.6484,40.7932,106.1256,78.966,116.0758,84.4094
15-Apr-2019 00:00:00,285.8333,146.5389,184.6782,40.8126,106.106,78.9856,115.8905,84.3997
16-Apr-2019 00:00:00,286.0206,146.5784,185.3141,40.8807,105.9197,78.8485,115.5687,84.2145
17-Apr-2019 00:00:00,285.3207,146.0358,185.96,40.9488,105.9099,78.8485,115.5492,84.2145
18-Apr-2019 00:00:00,285.8826,146.2529,186.1984,40.871,106.0472,78.9562,115.6467,84.2827
22-Apr-2019 00:00:00,286.129,146.2923,186.7251,40.8321,105.9197,78.8779,115.4614,84.234
23-Apr-2019 00:00:00,288.7018,147.762,189.0999,40.9293,106.106,79.015,115.9393,84.4679
24-Apr-2019 00:00:00,288.0611,147.5648,188.5037,40.5695,106.351,79.2208,116.3294,84.731
25-Apr-2019 00:00:00,287.8836,147.3182,189.2688,40.5403,106.3412,79.2012,116.2709,84.6044
26-Apr-2019 00:00:00,289.2242,148.1171,189.4377,40.6959,106.5569,79.3776,116.6805,84.8967
29-Apr-2019 00:00:00,289.6777,148.3342,189.8054,40.8515,106.3706,79.211,116.2221,84.6921
30-Apr-2019 00:00:00,289.8255,148.344,188.3348,40.8807,106.4392,79.3286,116.2709,84.7798
01-May-2019 00:00:00,287.6471,147.2393,187.7286,40.6084,106.5082,79.3333,116.2334,84.6645
02-May-2019 00:00:00,287.0261,146.9927,186.9139,40.5306,106.2723,79.1565,115.8128,84.5276
03-May-2019 00:00:00,289.8354,148.5807,189.8948,40.9293,106.4492,79.3038,116.3313,84.6547
